_id,simulationSnapshot,droneId,status,remainingFuel,speed,position.x,position.y
ObjectID(545a2315fd19ec4943e33b05),ObjectID(545a2315fd19ec4943e33af0),3,1,214.9547500000047,90,661.7826,-441.96796
ObjectID(545a2315fd19ec4943e33b0d),ObjectID(545a2315fd19ec4943e33b0c),1,1,124.2707500000048,90,275.03352,-39.04227
ObjectID(545a2315fd19ec4943e33b18),ObjectID(545a2315fd19ec4943e33b0c),2,1,214.2707500000048,90,85.71505999999999,-417.21725
ObjectID(545a2315fd19ec4943e33b21),ObjectID(545a2315fd19ec4943e33b0c),3,1,214.2707500000048,90,658.3626,-441.96945
ObjectID(545a2317fd19ec4943e33b29),ObjectID(545a2317fd19ec4943e33b28),1,1,119.8780000000046,90,255.89059,-49.81072
ObjectID(545a2317fd19ec4943e33b34),ObjectID(545a2317fd19ec4943e33b28),2,1,209.8780000000046,90,100.83211,-401.2835
ObjectID(545a2317fd19ec4943e33b3d),ObjectID(545a2317fd19ec4943e33b28),3,1,209.8780000000046,90,636.39885,-441.97891
ObjectID(545a231afd19ec4943e33b45),ObjectID(545a231afd19ec4943e33b44),1,1,111.6622500000044,90,220,-70
ObjectID(545a231afd19ec4943e33b50),ObjectID(545a231afd19ec4943e33b44),2,1,201.6622500000044,90,129.1055,-371.48295
ObjectID(545a231afd19ec4943e33b59),ObjectID(545a231afd19ec4943e33b44),3,1,201.6622500000044,90,595.3201,-441.99679
ObjectID(545a231bfd19ec4943e33b61),ObjectID(545a231bfd19ec4943e33b60),1,1,109.9912500000044,90,217.46989,-77.22875999999999
ObjectID(545a231bfd19ec4943e33b6b),ObjectID(545a231bfd19ec4943e33b60),2,1,199.9912500000044,90,134.85602,-365.42183
ObjectID(545a231bfd19ec4943e33b74),ObjectID(545a231bfd19ec4943e33b60),3,1,200.1305000000044,90,588,-442
ObjectID(545a231bfd19ec4943e33b7c),ObjectID(545a231bfd19ec4943e33b7b),1,1,109.9912500000044,90,217.46989,-77.22875999999999
ObjectID(545a231bfd19ec4943e33b86),ObjectID(545a231bfd19ec4943e33b7b),2,1,199.9912500000044,90,134.85602,-365.42183
ObjectID(545a231bfd19ec4943e33b8f),ObjectID(545a231bfd19ec4943e33b7b),3,1,199.9912500000044,90,588,-442
ObjectID(545a231cfd19ec4943e33b96),ObjectID(545a231cfd19ec4943e33b95),1,1,108.3202500000043,90,214.70977,-85.11468000000001
ObjectID(545a231cfd19ec4943e33ba0),ObjectID(545a231cfd19ec4943e33b95),2,1,198.4595000000043,90,140,-360
ObjectID(545a231cfd19ec4943e33ba9),ObjectID(545a231cfd19ec4943e33b95),3,1,198.4595000000043,90,587.3364800000001,-434.37007
ObjectID(545a231cfd19ec4943e33bb0),ObjectID(545a231cfd19ec4943e33baf),1,1,108.3202500000043,90,214.70977,-85.11468000000001
ObjectID(545a231cfd19ec4943e33bba),ObjectID(545a231cfd19ec4943e33baf),2,1,198.4595000000043,90,140,-360
ObjectID(545a231cfd19ec4943e33bc6),ObjectID(545a231cfd19ec4943e33baf),3,1,198.4595000000043,90,587.3364800000001,-434.37007
ObjectID(545a2322fd19ec4943e33bcd),ObjectID(545a2322fd19ec4943e33bcc),1,1,91.33175000000381,90,186.64907,-165.2882
ObjectID(545a2322fd19ec4943e33bd7),ObjectID(545a2322fd19ec4943e33bcc),2,1,181.3317500000038,90,159.67461,-277.36696
ObjectID(545a2322fd19ec4943e33be3),ObjectID(545a2322fd19ec4943e33bcc),3,1,181.4710000000038,90,580,-350
ObjectID(545a2322fd19ec4943e33bea),ObjectID(545a2322fd19ec4943e33be9),1,1,91.33175000000381,90,186.64907,-165.2882
ObjectID(545a2322fd19ec4943e33bf4),ObjectID(545a2322fd19ec4943e33be9),2,1,181.3317500000038,90,159.67461,-277.36696
ObjectID(545a2322fd19ec4943e33c00),ObjectID(545a2322fd19ec4943e33be9),3,1,181.4710000000038,90,580,-350
ObjectID(545a2323fd19ec4943e33c08),ObjectID(545a2323fd19ec4943e33c07),1,1,89.93925000000377,90,184.34902,-171.8598
ObjectID(545a2323fd19ec4943e33c12),ObjectID(545a2323fd19ec4943e33c07),2,1,179.9392500000038,90,161.28727,-270.59376
ObjectID(545a2323fd19ec4943e33c1e),ObjectID(545a2323fd19ec4943e33c07),3,1,179.9392500000038,90,584.8461,-345.0008
ObjectID(545a2324fd19ec4943e33c26),ObjectID(545a2324fd19ec4943e33c25),1,1,87.5720000000037,90,180.43895,-183.03152
ObjectID(545a2324fd19ec4943e33c30),ObjectID(545a2324fd19ec4943e33c25),2,1,177.5720000000037,90,164.02879,-259.07932
ObjectID(545a2324fd19ec4943e33c3c),ObjectID(545a2324fd19ec4943e33c25),3,1,177.5720000000037,90,593.08447,-336.5022
ObjectID(545a2325fd19ec4943e33c44),ObjectID(545a2325fd19ec4943e33c43),1,1,86.04025000000365,90,178,-190
ObjectID(545a2325fd19ec4943e33c4e),ObjectID(545a2325fd19ec4943e33c43),2,1,176.0402500000037,90,165.80271,-251.6288
ObjectID(545a2325fd19ec4943e33c5a),ObjectID(545a2325fd19ec4943e33c43),3,1,176.0402500000037,90,598.41518,-331.00316
ObjectID(545a2328fd19ec4943e33c62),ObjectID(545a2328fd19ec4943e33c61),1,1,77.96375000000342,90,217.68625,-190
ObjectID(545a2328fd19ec4943e33c6b),ObjectID(545a2328fd19ec4943e33c61),2,1,168.1030000000034,90,175,-213
ObjectID(545a2328fd19ec4943e33c77),ObjectID(545a2328fd19ec4943e33c61),3,1,168.1030000000034,90,626.03795,-302.50813
ObjectID(545a232dfd19ec4943e33c7f),ObjectID(545a232dfd19ec4943e33c7e),1,1,63.89950000000301,90,288.0075,-190
ObjectID(545a232dfd19ec4943e33c88),ObjectID(545a232dfd19ec4943e33c7e),2,1,153.899500000003,90,189.40626,-281.82948
ObjectID(545a232dfd19ec4943e33c93),ObjectID(545a232dfd19ec4943e33c7e),3,1,154.038750000003,90,675,-252
ObjectID(545a2330fd19ec4943e33c9b),ObjectID(545a2330fd19ec4943e33c9a),1,1,57.49400000000315,90,320,-190
ObjectID(545a2330fd19ec4943e33ca4),ObjectID(545a2330fd19ec4943e33c9a),2,1,147.4940000000028,90,195.96744,-313.17756
ObjectID(545a2330fd19ec4943e33caf),ObjectID(545a2330fd19ec4943e33c9a),3,1,147.4940000000028,90,655.12064,-226.88906
ObjectID(545a2330fd19ec4943e33cb6),ObjectID(545a2330fd19ec4943e33cb5),1,2,57.49400000000315,0,320,-190
ObjectID(545a2330fd19ec4943e33cbe),ObjectID(545a2330fd19ec4943e33cb5),2,1,147.4940000000028,90,195.96744,-313.17756
ObjectID(545a2330fd19ec4943e33cc9),ObjectID(545a2330fd19ec4943e33cb5),3,1,147.4940000000028,90,655.12064,-226.88906
ObjectID(545a2330fd19ec4943e33cd0),ObjectID(545a2330fd19ec4943e33ccf),1,1,250,90,320,-190
ObjectID(545a2330fd19ec4943e33cd8),ObjectID(545a2330fd19ec4943e33ccf),2,1,147.3547500000028,90,196.11007,-313.85904
ObjectID(545a2330fd19ec4943e33ce3),ObjectID(545a2330fd19ec4943e33ccf),3,1,147.3547500000028,90,654.68848,-226.34317
ObjectID(545a2330fd19ec4943e33cea),ObjectID(545a2330fd19ec4943e33ce9),1,1,250,90,320,-190
ObjectID(545a2330fd19ec4943e33cf2),ObjectID(545a2330fd19ec4943e33ce9),2,1,147.2155000000028,90,196.25271,-314.54052
ObjectID(545a2330fd19ec4943e33cfd),ObjectID(545a2330fd19ec4943e33ce9),3,1,147.2155000000028,90,654.25632,-225.79728
ObjectID(545a2332fd19ec4943e33d04),ObjectID(545a2332fd19ec4943e33d03),1,1,244.2907499999998,90,347.0184,-196.75461
ObjectID(545a2332fd19ec4943e33d0b),ObjectID(545a2332fd19ec4943e33d03),2,1,141.6455000000026,90,202,-342
ObjectID(545a2332fd19ec4943e33d16),ObjectID(545a2332fd19ec4943e33d03),3,1,141.6455000000026,90,636.96979,-203.96168
ObjectID(545a2333fd19ec4943e33d1d),ObjectID(545a2333fd19ec4943e33d1c),1,1,241.6449999999998,90,360,-200
ObjectID(545a2333fd19ec4943e33d24),ObjectID(545a2333fd19ec4943e33d1c),2,1,138.8605000000026,90,206.99415,-329.75013
ObjectID(545a2333fd19ec4943e33d2e),ObjectID(545a2333fd19ec4943e33d1c),3,1,138.8605000000026,90,628.32651,-193.04388
ObjectID(545a2333fd19ec4943e33d35),ObjectID(545a2333fd19ec4943e33d34),1,1,241.6449999999998,90,360,-200
ObjectID(545a2333fd19ec4943e33d41),ObjectID(545a2333fd19ec4943e33d34),2,1,138.8605000000026,90,206.99415,-329.75013
ObjectID(545a2333fd19ec4943e33d4b),ObjectID(545a2333fd19ec4943e33d34),3,1,138.8605000000026,90,628.32651,-193.04388
ObjectID(545a2334fd19ec4943e33d52),ObjectID(545a2334fd19ec4943e33d51),1,1,238.4422499999997,90,349.59312,-211.23936
ObjectID(545a2334fd19ec4943e33d5e),ObjectID(545a2334fd19ec4943e33d51),2,1,135.6577500000025,90,213.0397,-314.92134
ObjectID(545a2334fd19ec4943e33d68),ObjectID(545a2334fd19ec4943e33d51),3,1,135.6577500000025,90,618.38674,-180.48841
ObjectID(545a2336fd19ec4943e33d6f),ObjectID(545a2336fd19ec4943e33d6e),1,1,234.1254999999995,90,335,-227
ObjectID(545a2336fd19ec4943e33d7b),ObjectID(545a2336fd19ec4943e33d6e),2,1,131.3410000000023,90,221.18805,-294.93471
ObjectID(545a2336fd19ec4943e33d85),ObjectID(545a2336fd19ec4943e33d6e),3,1,131.3410000000023,90,604.98966,-163.56582
ObjectID(545a2337fd19ec4943e33d8c),ObjectID(545a2337fd19ec4943e33d8b),1,1,232.4544999999995,90,327.34125,-227
ObjectID(545a2337fd19ec4943e33d97),ObjectID(545a2337fd19ec4943e33d8b),2,1,129.6700000000023,90,224.34225,-287.19795
ObjectID(545a2337fd19ec4943e33da1),ObjectID(545a2337fd19ec4943e33d8b),3,3,129.6700000000023,90,599.80369,-157.01514
ObjectID(545a233afd19ec4943e33da8),ObjectID(545a233afd19ec4943e33da7),1,1,224.3779999999992,90,286.95875,-227
ObjectID(545a233afd19ec4943e33db3),ObjectID(545a233afd19ec4943e33da7),2,1,121.5935000000021,90,239.58755,-249.80361
ObjectID(545a233efd19ec4943e33dbe),ObjectID(545a233efd19ec4943e33dbd),1,1,222.7654999999998,90,278.89625,-227
ObjectID(545a233efd19ec4943e33dc9),ObjectID(545a233efd19ec4943e33dbd),2,1,119.9810000000016,90,242.63147,-242.33791
ObjectID(545a234ffd19ec4943e33dd4),ObjectID(545a234ffd19ec4943e33dd3),1,1,216.1877500000022,90,246.0075,-227
ObjectID(545a234ffd19ec4943e33ddf),ObjectID(545a234ffd19ec4943e33dd3),2,1,113.4239999999995,90,255,-212
ObjectID(545a2379fd19ec4943e33dea),ObjectID(545a2379fd19ec4943e33de9),1,1,199.982000000008,90,165,-227
ObjectID(545a2379fd19ec4943e33df5),ObjectID(545a2379fd19ec4943e33de9),2,1,97.19749999999421,90,288.31919,-285.85917
ObjectID(545a239bfd19ec4943e33dff),ObjectID(545a239bfd19ec4943e33dfe),1,1,186.9925000000127,90,226.8,-246.63125
ObjectID(545a239bfd19ec4943e33e09),ObjectID(545a239bfd19ec4943e33dfe),2,1,84.22874999999001,90,315,-345
ObjectID(545a239bfd19ec4943e33e13),ObjectID(545a239bfd19ec4943e33e12),1,1,186.9925000000127,90,226.8,-246.63125
ObjectID(545a239bfd19ec4943e33e1d),ObjectID(545a239bfd19ec4943e33e12),2,3,84.20799999999001,90,315,-345
ObjectID(545a23cbfd19ec4943e33e26),ObjectID(545a23cbfd19ec4943e33e25),1,3,168.4835000000194,90,315.00096,-274.64834
ObjectID(545a2418fd19ec4943e33e32),ObjectID(545a2418fd19ec4943e33e31),1,1,130,90,300,-25
ObjectID(545a2418fd19ec4943e33e3e),ObjectID(545a2418fd19ec4943e33e31),2,1,220,90,66,-438
ObjectID(545a2418fd19ec4943e33e48),ObjectID(545a2418fd19ec4943e33e31),3,1,220,90,687,-442
ObjectID(545a2418fd19ec4943e33e51),ObjectID(545a2418fd19ec4943e33e50),1,1,130,90,300,-25
ObjectID(545a2418fd19ec4943e33e5d),ObjectID(545a2418fd19ec4943e33e50),2,1,220,90,66,-438
ObjectID(545a2418fd19ec4943e33e67),ObjectID(545a2418fd19ec4943e33e50),3,1,220,90,687,-442
ObjectID(545a2418fd19ec4943e33e70),ObjectID(545a2418fd19ec4943e33e6f),1,1,129.99975,90,300,-25
ObjectID(545a2418fd19ec4943e33e7b),ObjectID(545a2418fd19ec4943e33e6f),2,1,220,90,66,-438
ObjectID(545a2418fd19ec4943e33e85),ObjectID(545a2418fd19ec4943e33e6f),3,1,220,90,687,-442
ObjectID(545a2418fd19ec4943e33e8e),ObjectID(545a2418fd19ec4943e33e8d),1,1,129.99975,90,300,-25
ObjectID(545a2418fd19ec4943e33e99),ObjectID(545a2418fd19ec4943e33e8d),2,1,219.99975,90,66,-438
ObjectID(545a2418fd19ec4943e33ea2),ObjectID(545a2418fd19ec4943e33e8d),3,1,220,90,687,-442
ObjectID(545a2512fd19ec4943e33eab),ObjectID(545a2512fd19ec4943e33eaa),1,1,49.99999999997708,90,108.61042,-13.50721
ObjectID(545a2855fd19ec4943e33eb7),ObjectID(545a2855fd19ec4943e33eb6),1,1,125.0000000001182,90,278.20109,-37.19939
ObjectID(545a2855fd19ec4943e33ec2),ObjectID(545a2855fd19ec4943e33eb6),2,1,215.0000000001182,90,83.19914,-419.80091
ObjectID(545a2855fd19ec4943e33ecb),ObjectID(545a2855fd19ec4943e33eb6),3,1,215.0000000001182,90,663.60117,-433.03896
ObjectID(545a2cacfd19ec4943e33ed3),ObjectID(545a2cacfd19ec4943e33ed2),1,1,120.0000000002365,90,256.40109,-49.42863
ObjectID(545a2cacfd19ec4943e33ede),ObjectID(545a2cacfd19ec4943e33ed2),2,1,210.0000000002365,90,100.39914,-401.60091
ObjectID(545a2cacfd19ec4943e33ee7),ObjectID(545a2cacfd19ec4943e33ed2),3,1,210.0000000002365,90,640.20117,-424.12454
ObjectID(545a352ffd19ec4943e33eef),ObjectID(545a352ffd19ec4943e33eee),1,1,110.0000000004729,90,219.99946,-70.00031
ObjectID(545a352ffd19ec4943e33efa),ObjectID(545a352ffd19ec4943e33eee),2,1,200.0000000004729,90,134.79914,-365.45871
ObjectID(545a352ffd19ec4943e33f03),ObjectID(545a352ffd19ec4943e33eee),3,1,200.0000000004729,90,593.40117,-406.2957
ObjectID(545a35cdfd19ec4943e33f0b),ObjectID(545a35cdfd19ec4943e33f0a),1,1,109.2730000004901,90,219.99946,-70.00031
ObjectID(545a35cdfd19ec4943e33f16),ObjectID(545a35cdfd19ec4943e33f0a),2,1,199.2730000004901,90,137.30002,-362.83384
ObjectID(545a35cdfd19ec4943e33f1f),ObjectID(545a35cdfd19ec4943e33f0a),3,1,199.2732500004901,90,590,-405
ObjectID(545a3669fd19ec4943e33f28),ObjectID(545a3669fd19ec4943e33f27),1,1,130,90,300,-25
ObjectID(545a3669fd19ec4943e33f35),ObjectID(545a3669fd19ec4943e33f34),1,1,130,90,300,-25
ObjectID(545a3669fd19ec4943e33f43),ObjectID(545a3669fd19ec4943e33f42),1,1,54.8,90,127,-4
ObjectID(545a3669fd19ec4943e33f51),ObjectID(545a3669fd19ec4943e33f50),1,1,54.8,90,127,-4
