_id,simulation,simulationSpeed,elapsedRealTime,elapsedSimulationTime,cause.id,cause.params.inputId,cause.params.droneId,cause.params.detectorId,cause.params.controlModeId,cause.params.selected,cause.params.controlMode.id,cause.params.controlMode.key,cause.params.incidentId,cause.params.incidentType,cause.params.targetPosition,cause.params.type,cause.params.id
ObjectID(545a2336fd19ec4943e33d6e),ObjectID(545a22eafd19ec4943e33996),557,69750,17759650,1,,1,,,,,,,,,,
ObjectID(545a2337fd19ec4943e33d8b),ObjectID(545a22eafd19ec4943e33996),557,70300,18066000,5,,3,,,,,,,,,,
ObjectID(545a233afd19ec4943e33da7),ObjectID(545a22eafd19ec4943e33996),83,73250,19709150,0,2,,,,,,,,,,,
ObjectID(545a233efd19ec4943e33dbd),ObjectID(545a22eafd19ec4943e33996),83,76800,20003800,3,,,,,,,,0,"DangerAreaIncident",,,
ObjectID(545a234ffd19ec4943e33dd3),ObjectID(545a22eafd19ec4943e33996),83,92650,21319350,1,,2,,,,,,,,,,
ObjectID(545a2379fd19ec4943e33de9),ObjectID(545a22eafd19ec4943e33996),83,131750,24564650,1,,1,,,,,,,,,,
ObjectID(545a239bfd19ec4943e33dfe),ObjectID(545a22eafd19ec4943e33996),83,163000,27158400,1,,2,,,,,,,,,,
ObjectID(545a239bfd19ec4943e33e12),ObjectID(545a22eafd19ec4943e33996),83,163000,27158400,5,,2,,,,,,,,,,
ObjectID(545a23cbfd19ec4943e33e25),ObjectID(545a22eafd19ec4943e33996),83,207600,30860200,5,,1,,,,,,,,,,
ObjectID(545a2418fd19ec4943e33e31),ObjectID(545a2418fd19ec4943e33e30),1,0,0,,,,,,,,,,,,,
ObjectID(545a2418fd19ec4943e33e50),ObjectID(545a2418fd19ec4943e33e30),1,50,50,1,,1,,,,,,,,,,
ObjectID(545a2418fd19ec4943e33e6f),ObjectID(545a2418fd19ec4943e33e30),1,50,50,1,,2,,,,,,,,,,
ObjectID(545a2418fd19ec4943e33e8d),ObjectID(545a2418fd19ec4943e33e30),1,50,50,1,,3,,,,,,,,,,
ObjectID(545a2512fd19ec4943e33eaa),ObjectID(545a211cfd19ec4943e33953),1,960000,960000,2,,,,,,,,2,"FuelIncident",,,
ObjectID(545a2855fd19ec4943e33eb6),ObjectID(545a2418fd19ec4943e33e30),1,1000000,1000000,2,,,,,,,,1,"PayloadIncident",,,
ObjectID(545a2cacfd19ec4943e33ed2),ObjectID(545a2418fd19ec4943e33e30),1,2000000,2000000,2,,,,,,,,2,"DangerAreaIncident",,,
ObjectID(545a352ffd19ec4943e33eee),ObjectID(545a2418fd19ec4943e33e30),1,4000000,4000000,2,,,,,,,,3,"DangerAreaIncident",,,
ObjectID(545a35cdfd19ec4943e33f0a),ObjectID(545a2418fd19ec4943e33e30),1,4145400,4145400,1,,3,,,,,,,,,,
ObjectID(545a3669fd19ec4943e33f27),ObjectID(545a3669fd19ec4943e33f26),1,0,0,,,,,,,,,,,,,
ObjectID(545a3669fd19ec4943e33f34),ObjectID(545a3669fd19ec4943e33f26),1,50,50,1,,1,,,,,,,,,,
ObjectID(545a3669fd19ec4943e33f42),ObjectID(545a3669fd19ec4943e33f41),1,0,0,,,,,,,,,,,,,
ObjectID(545a3669fd19ec4943e33f50),ObjectID(545a3669fd19ec4943e33f41),1,50,50,1,,1,,,,,,,,,,
ObjectID(545a366afd19ec4943e33f5f),ObjectID(545a366afd19ec4943e33f5e),1,0,0,,,,,,,,,,,,,
ObjectID(545a366afd19ec4943e33f6d),ObjectID(545a366afd19ec4943e33f5e),1,50,50,1,,1,,,,,,,,,,
ObjectID(545a366bfd19ec4943e33f7c),ObjectID(545a366bfd19ec4943e33f7b),1,0,0,,,,,,,,,,,,,
ObjectID(545a366bfd19ec4943e33f89),ObjectID(545a366bfd19ec4943e33f7b),1,50,50,1,,1,,,,,,,,,,
ObjectID(545a366dfd19ec4943e33f97),ObjectID(545a366dfd19ec4943e33f96),1,0,0,,,,,,,,,,,,,
ObjectID(545a366dfd19ec4943e33fa5),ObjectID(545a366dfd19ec4943e33f96),1,50,50,1,,1,,,,,,,,,,
ObjectID(545a3671fd19ec4943e33fb4),ObjectID(545a3671fd19ec4943e33fb3),1,0,0,,,,,,,,,,,,,
ObjectID(545a3671fd19ec4943e33fc2),ObjectID(545a3671fd19ec4943e33fb3),1,50,50,1,,1,,,,,,,,,,
ObjectID(545a3673fd19ec4943e33fd0),ObjectID(545a366afd19ec4943e33f5e),1,8750,8750,0,0,1,,,,,,,,,,
ObjectID(545a3673fd19ec4943e33fdd),ObjectID(545a3669fd19ec4943e33f41),1,9400,9400,0,0,1,,,,,,,,,,
ObjectID(545a3674fd19ec4943e33fea),ObjectID(545a366dfd19ec4943e33f96),1,6950,6950,0,0,1,,,,,,,,,,
ObjectID(545a3676fd19ec4943e33ff8),ObjectID(545a3676fd19ec4943e33ff7),1,0,0,,,,,,,,,,,,,
ObjectID(545a3676fd19ec4943e34006),ObjectID(545a3676fd19ec4943e33ff7),1,50,50,1,,1,,,,,,,,,,
ObjectID(545a3677fd19ec4943e34014),ObjectID(545a3671fd19ec4943e33fb3),1,6000,6000,0,0,1,,,,,,,,,,
ObjectID(545a3678fd19ec4943e34021),ObjectID(545a2418fd19ec4943e33e30),1,4302450,4302450,1,,2,,,,,,,,,,
ObjectID(545a3678fd19ec4943e3403c),ObjectID(545a2418fd19ec4943e33e30),1,4302450,4302450,6,,2,,,,,,,,,"surveillance","surveillance_uav_2_area_1"
ObjectID(545a3679fd19ec4943e3405a),ObjectID(545a3671fd19ec4943e33fb3),1,7650,7650,0,0,1,,,,,,,,,,
ObjectID(545a367bfd19ec4943e34067),ObjectID(545a3671fd19ec4943e33fb3),1,9450,9450,0,0,1,,,,,,,,,,
ObjectID(545a367cfd19ec4943e34074),ObjectID(545a3669fd19ec4943e33f41),1,17050,17050,0,4,1,,,,,,,,,,
ObjectID(545a367dfd19ec4943e34081),ObjectID(545a366afd19ec4943e33f5e),1,17950,17950,0,6,,,,,1,"ADDING WAYPOINTS",,,,,
ObjectID(545a367dfd19ec4943e3408e),ObjectID(545a3669fd19ec4943e33f41),1,18450,18450,0,4,1,,,,,,,,,,
ObjectID(545a367efd19ec4943e3409b),ObjectID(545a366afd19ec4943e33f5e),1,18900,18900,0,4,1,,,,,,,,,,
ObjectID(545a3680fd19ec4943e340a9),ObjectID(545a3669fd19ec4943e33f41),1,20450,20450,0,4,1,,,,,,,,,,
ObjectID(545a3683fd19ec4943e340b6),ObjectID(545a3669fd19ec4943e33f41),1,23950,23950,0,4,1,,,,,,,,,,
